_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,MONTH,YEAR
25348,SC,222,Jun-20,Jun,2020
25349,TO,248,Jun-20,Jun,2020
25350,NY,718,Jul-20,Jul,2020
25351,SC,782,Jul-20,Jul,2020
25352,NY,776,Aug-20,Aug,2020
25353,SC,637,Aug-20,Aug,2020
25354,NY,864,Sep-20,Sep,2020
25355,SC,569,Sep-20,Sep,2020
25356,NY,536,Oct-20,Oct,2020
25357,SC,581,Oct-20,Oct,2020
25358,NY,366,Nov-20,Nov,2020
25359,SC,320,Nov-20,Nov,2020
25360,NY,168,Dec-20,Dec,2020
25361,SC,200,Dec-20,Dec,2020
25362,NY,286,Jan-21,Jan,2021
25363,SC,78,Jan-21,Jan,2021
25364,NY,427,Feb-21,Feb,2021
25365,SC,108,Feb-21,Feb,2021
25366,NY,631,Mar-21,Mar,2021
25367,SC,285,Mar-21,Mar,2021
25368,ET,1,Apr-21,Apr,2021
25369,NY,560,Apr-21,Apr,2021
25370,SC,191,Apr-21,Apr,2021
25371,NY,518,May-21,May,2021
25372,SC,187,May-21,May,2021
25373,NY,677,Jun-21,Jun,2021
25374,SC,215,Jun-21,Jun,2021
25375,TO,3,Jun-21,Jun,2021
25376,NY,997,Jul-21,Jul,2021
25377,SC,375,Jul-21,Jul,2021
25378,NY,372,Aug-21,Aug,2021
25379,SC,266,Aug-21,Aug,2021
25380,TO,922,Aug-21,Aug,2021
25381,TO,1773,Sep-21,Sep,2021
25382,TO,1413,Oct-21,Oct,2021
25383,TO,783,Nov-21,Nov,2021
25384,NY,1,Dec-21,Dec,2021
25385,TO,689,Dec-21,Dec,2021
25386,TO,472,Jan-22,Jan,2022
25387,TO,536,Feb-22,Feb,2022
25388,TO,1220,Mar-22,Mar,2022
25389,TO,1265,Apr-22,Apr,2022
25390,TO,1269,May-22,May,2022
25391,NY,455,Jun-22,Jun,2022
25392,TO,1658,Jun-22,Jun,2022
25393,NY,559,Jul-22,Jul,2022
25394,TO,1507,Jul-22,Jul,2022
25395,NY,647,Aug-22,Aug,2022
25396,TO,1656,Aug-22,Aug,2022
25397,NY,467,Sep-22,Sep,2022
25398,TO,1108,Sep-22,Sep,2022
25399,NY,304,Oct-22,Oct,2022
25400,TO,611,Oct-22,Oct,2022
25401,NY,329,Nov-22,Nov,2022
25402,TO,476,Nov-22,Nov,2022
25403,NY,128,Dec-22,Dec,2022
25404,TO,556,Dec-22,Dec,2022
25405,NY,149,Jan-23,Jan,2023
25406,TO,563,Jan-23,Jan,2023
25407,NY,156,Feb-23,Feb,2023
25408,TO,617,Feb-23,Feb,2023
25409,NY,215,Mar-23,Mar,2023
25410,TO,929,Mar-23,Mar,2023
25411,NY,318,Apr-23,Apr,2023
25412,TO,1086,Apr-23,Apr,2023
25413,NY,305,May-23,May,2023
25414,TO,1507,May-23,May,2023
25415,NY,416,Jun-23,Jun,2023
25416,TO,1507,Jun-23,Jun,2023
25417,NY,439,Jul-23,Jul,2023
25418,TO,1628,Jul-23,Jul,2023
25419,NY,412,Aug-23,Aug,2023
25420,TO,1649,Aug-23,Aug,2023
25421,NY,266,Sep-23,Sep,2023
25422,TO,1156,Sep-23,Sep,2023
25423,NY,296,Oct-23,Oct,2023
25424,TO,811,Oct-23,Oct,2023
25425,NY,260,Nov-23,Nov,2023
25426,TO,606,Nov-23,Nov,2023
25427,NY,99,Dec-23,Dec,2023
25428,TO,646,Dec-23,Dec,2023
25429,NY,135,Jan-24,Jan,2024
25430,TO,840,Jan-24,Jan,2024
25431,NY,193,Feb-24,Feb,2024
25432,TO,800,Feb-24,Feb,2024
25433,NY,114,Mar-24,Mar,2024
25434,TO,1116,Mar-24,Mar,2024
25435,NY,270,Apr-24,Apr,2024
25436,TO,1279,Apr-24,Apr,2024
25437,NY,409,May-24,May,2024
25438,TO,1347,May-24,May,2024
25439,NY,394,Jun-24,Jun,2024
25440,TO,1355,Jun-24,Jun,2024
25441,NY,670,Jul-24,Jul,2024
25442,TO,1545,Jul-24,Jul,2024
25443,NY,675,Aug-24,Aug,2024
25444,TO,1406,Aug-24,Aug,2024
25445,NY,433,Sep-24,Sep,2024
25446,TO,944,Sep-24,Sep,2024
25447,NY,434,Oct-24,Oct,2024
25448,TO,772,Oct-24,Oct,2024
25449,NY,321,Nov-24,Nov,2024
25450,TO,556,Nov-24,Nov,2024
25451,NY,254,Dec-24,Dec,2024
25452,TO,529,Dec-24,Dec,2024
25453,NY,309,Jan-25,Jan,2025
25454,TO,784,Jan-25,Jan,2025
25455,NY,262,Feb-25,Feb,2025
25456,TO,671,Feb-25,Feb,2025
25457,NY,297,Mar-25,Mar,2025
25458,TO,801,Mar-25,Mar,2025
25459,NY,365,Apr-25,Apr,2025
25460,TO,935,Apr-25,Apr,2025
25461,NY,607,May-25,May,2025
25462,TO,1132,May-25,May,2025
25463,NY,568,Jun-25,Jun,2025
25464,TO,1546,Jun-25,Jun,2025
25465,NY,611,Jul-25,Jul,2025
25466,TO,1706,Jul-25,Jul,2025
25467,NY,549,Aug-25,Aug,2025
25468,TO,1410,Aug-25,Aug,2025
25469,NY,387,Sep-25,Sep,2025
25470,TO,1101,Sep-25,Sep,2025
25471,NY,241,Oct-25,Oct,2025
25472,TO,878,Oct-25,Oct,2025
25473,NY,118,Nov-25,Nov,2025
25474,TO,700,Nov-25,Nov,2025
25475,NY,249,Dec-25,Dec,2025
25476,TO,539,Dec-25,Dec,2025
25477,NY,270,Jan-26,Jan,2026
25478,TO,575,Jan-26,Jan,2026
